State,State Results Website,Turnout Rates,Numerators,Denominators,% Non-citizen,State Abv
United States,,57.9%,133983600,231556622,8.4%,US
Alabama,http://www.alabamavotes.gov/electionnight/statewideresultsbycontest.aspx?ecode=1000500,58.7%,2115000,3606103,2.6%,AL
Alaska,http://www.elect.alaska.net/,60.6%,315000,519501,4.3%,AK
Arizona,http://results.arizona.vote/2016/General/n1591/Results-State.html,56.3%,2670000,4738332,9.5%,AZ
Arkansas,http://results.enr.clarityelections.com/AR/63912/182850/Web01/en/summary.html,52.5%,1127000,2148441,3.8%,AR
California,http://vote.sos.ca.gov/,52.6%,13300000,25278803,16.7%,CA
Colorado,http://results.enr.clarityelections.com/CO/63746/182883/Web01/en/summary.html,67.1%,2670000,3978892,7.2%,CO
Connecticut,http://ctemspublic.pcctg.net/#/home,62.3%,1602000,2572337,8.6%,CT
Delaware,http://elections.delaware.gov/results/html/election.shtml,63.9%,443000,693659,6%,DE
District of Columbia,https://www.dcboee.org/election_info/election_results/v3/2016/November-8-General-Election,55.7%,288000,516771,9%,DC
Florida,http://enight.elections.myflorida.com/,65.1%,9500000,14601373,10.7%,FL
Georgia,http://results.enr.clarityelections.com/GA/63991/182885/en/summary.html,60%,4175000,6958725,7.1%,GA
Hawaii,http://elections.hawaii.gov/wp-content/results/histatewide.pdf,42.5%,437600,1029072,8.7%,HI
Idaho,http://www.sos.idaho.gov/ELECT/results/2016/General/ENR/statewide_total.html,59.7%,693000,1161211,4.4%,ID
Illinois,,60.1%,5400000,8983758,8.9%,IL
Indiana,http://www.in.gov/apps/sos/election/general/general2016,56.2%,2731000,4860929,3.6%,IN
Iowa,https://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabView=StateRaces^Federal%20/%20Statewide%20Races^86&ElectionID=86,68.6%,1575000,2297129,3.5%,IA
Kansas,http://www.sos.ks.gov/ent/kssos_ent.html,55.7%,1150000,2065761,5.4%,KS
Kentucky,http://results.enr.clarityelections.com/KY/64180/182267/Web01/en/summary.html,58.7%,1925000,3276707,2.5%,KY
Louisiana,https://voterportal.sos.la.gov/Graphical,59.9%,2030000,3391431,2.8%,LA
Maine,,69.9%,740000,1058306,1.6%,ME
Maryland,http://elections.maryland.gov/elections/2016/results/General/gen_results_2016_4_001-.html,60.7%,2550000,4202282,9%,MD
Massachusetts,,65.3%,3253000,4978165,8.9%,MA
Michigan,http://miboecfr.nictusa.com/election/results/2016GEN_CENR.html,64.6%,4800000,7431589,3.6%,MI
Minnesota,http://electionresults.sos.state.mn.us/Results/President/100?officeInElectionId=10733,74.1%,2945000,3972330,4.7%,MN
Mississippi,,53.5%,1165000,2177349,1.9%,MS
Missouri,http://enr.sos.mo.gov/enrnet/default.aspx?eid=750003949,61.9%,2800000,4519978,2.6%,MO
Montana,http://mtelectionresults.gov/,63.4%,510000,803833,1.2%,MT
Nebraska,http://electionresults.sos.ne.gov/,61.7%,835000,1353558,5.1%,NE
Nevada,http://silverstateelection.com/,57.1%,1125000,1970426,12.6%,NV
New Hampshire,,70.3%,732000,1041147,3%,NH
New Jersey,http://www.state.nj.us/state/elections/2016-results/2016-unofficial-general-results-president.pdf,59.2%,3610000,6093144,11.6%,NJ
New Mexico,http://electionresults.sos.state.nm.us/,54.8%,800000,1459901,7.3%,NM
New York,http://nyenr.elections.state.ny.us/,52.4%,7175000,13693128,12%,NY
North Carolina,http://er.ncsbe.gov/?election_dt=11/08/2016&county_id=0&office=FED&contest=0,64.6%,4725000,7317507,5.9%,NC
North Dakota,http://results.sos.nd.gov/resultsSW.aspx?text=Race&type=SW&map=CTY,59.2%,345000,582534,2.5%,ND
Ohio,https://vote.ohio.gov/,64.5%,5650000,8753269,2.4%,OH
Oklahoma,https://www.ok.gov/elections/support/ok_results_seb.html,52.1%,1455000,2792423,4.8%,OK
Oregon,http://results.oregonvotes.gov/resultsSW.aspx?type=FED&map=CTY,64.4%,1935000,3006638,6.7%,OR
Pennsylvania,http://www.electionreturns.pa.gov/ENR_NEW,61.3%,5965000,9737690,3.5%,PA
Rhode Island,http://www.ri.gov/election/results/2016/general_election/,58.8%,462000,786111,7%,RI
South Carolina,http://www.enr-scvotes.org/SC/64658/182853/en/summary.html,56.8%,2105000,3702997,3.4%,SC
South Dakota,http://electionresults.sd.gov/,58.7%,371000,632098,2.3%,SD
Tennessee,http://elections.tn.gov/results.php,51%,2500000,4900137,3.7%,TN
Texas,https://enrpages.sos.state.tx.us/public/nov08_319.htm,51.1%,8950000,17514961,13.5%,TX
Utah,http://electionresults.utah.gov/elections/federal,46.4%,925000,1993581,6.7%,UT
Vermont,https://vtelectionresults.sec.state.vt.us/Index.html#/state,64.7%,321000,496439,2.2%,VT
Virginia,http://results.elections.virginia.gov/vaelections/2016%20November%20General/Site/Presidential.html,65.4%,3965000,6061032,6.9%,VA
Washington,http://results.vote.wa.gov/results/current/,62.5%,3200000,5123524,8.6%,WA
West Virginia,http://services.sos.wv.gov/apps/elections/results/,51%,729000,1430308,0.9%,WV
Wisconsin,,68.3%,2935000,4295057,3.1%,WI
Wyoming,http://soswy.state.wy.us/Elections/Docs/2016/Results/General/2016_General_Statewide_Candidates_Summary.pdf,60.1%,259000,431011,2.7%,WY